SampleID,NbrMethylatedCpG_global_BSBolt,Total_reads,Mapped_read,Total_reads_minusSexAndUnknownChr,Mapped_reads_minusSexAndUnknownChr,Mapped_read_sexchr,Mapped_reads_unknownchr,mappabilityTotal,mappabilityNoSexUn,mappabilitySexChr,mappabilityUnChr,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio,trtG1G2_NUM,PAT,brotherPairID
S45,29528463,12203768,10348671,10665823,8810726,444166,1093779,84.7989817571098,82.6070899545211,3.63958082454534,8.96263350794607,72.5%,33%,12.4,71.621150857552,32,93.8020126242977,18.1818181818182,12203768,Fam11,NE_05,S53,V48_108,4.7,0,779,40,S45,Fam11,O,CC,F,12.3,67.6,NE_control,control,46,87.306,-0.22178,-0.52742,0.9,31.3,8.7,2.5,7360560.4,1372,65.11,0.24,5,Control father group,BP05
S46,19291251,8266574,7037470,7237593,6008489,305424,723557,85.1316397820911,83.0177795297415,3.69468657753502,8.75280376126797,75.2%,32%,8.3,74.7411632139951,32,94.548582762339,18.1818181818182,8266574,Fam11,NE_05,S53,V48_139,3.3,0,781,40,S46,Fam11,O,CC,F,8.3,68.3,NE_control,control,46,89.306,-0.25401,-0.56243,1,35.4,11.5,2,3025612.5,462,60.11,0.24,5,Control father group,BP05
S47,30509070,13260440,11395071,11675564,9810195,493138,1091738,85.9328272666669,84.0233071395951,3.7188660406442,8.23304505732841,76.5%,32%,13.3,76.1343433668529,31,95.6014366039136,18.1818181818182,13260440,Fam11,NE_05,S53,V48_262,4,0,873,43,S47,Fam11,O,CC,F,13.3,69.3,NE_control,control,49,42.247,1.26347,0.82727,0.8,30.1,12.2,2.5,4165286,685,65.11,0.54,5,Control father group,BP05
S48,30819367,12778634,10723775,11269260,9214401,341432,1167942,83.9195723110937,81.7658036108848,2.67189748137399,9.13980320588257,74.0%,33%,13,73.4124606350584,33,95.5987585214507,18.1818181818182,12778634,Fam11,NE_05,S53,V48_364,4.9,0,795,41,S48,Fam11,O,CC,M,12.9,67.4,NE_control,control,46,56.953,0.52039,0.19252,1.2,26.1,1.4,2.4,2826301.3,471,15.1,0.56,5,Control father group,BP05
S49,29730391,11856015,9715344,10270004,8129333,411042,1174969,81.9444307383214,79.1560840677375,3.46694905497336,9.91031978282754,77.6%,36%,12,76.6478818062498,35,92.2483134510204,27.2727272727273,11856015,Fam11,NE_05,S53,V48_140,3.1,2,848,43,S49,Fam11,O,CT,F,11.9,66.2,NE_exposed,infected,49,17.247,1.66633,1.26485,1.2,31.2,18.5,2.3,4360868.2,686,60.11,0.43,6,Control father group,BP05
S50,22865206,9267243,7719047,8062115,6513919,329378,875750,83.2938879448829,80.796651995165,3.55421779702982,9.44995183572935,74.1%,35%,9.4,73.2815138598658,34,93.5362057518077,27.2727272727273,9267243,Fam11,NE_05,S53,V48_263,4.2,3,860,43,S50,Fam11,O,CT,F,9.3,66.8,NE_exposed,infected,49,29.247,1.47295,1.05482,0.8,29.7,11.4,2.9,3871094.1,697,55.11,0.46,6,Control father group,BP05
S51,23382446,10654558,8780521,9233395,7359358,372627,1048536,82.4109362396826,79.7037059499783,3.49734827104043,9.84119660336919,75.1%,34%,10.7,74.2633573246417,33,93.0750771641583,18.1818181818182,10654558,Fam11,NE_05,S53,V48_365,2.2,4,739,41,S51,Fam11,O,CT,F,10.7,65.8,NE_exposed,infected,47,0.953,1.42279,1.17271,0.8,25,13.5,2.8,3693492.9,645,55.11,1.06,6,Control father group,BP05
S52,24625494,11057943,9232180,9738789,7913026,298191,1020963,83.4891263230422,81.2526690946893,2.69662269013324,9.23284737495934,74.7%,34%,11.2,74.0513063278872,33,94.07904182541,27.2727272727273,11057943,Fam11,E_05,NA,9,3.1,2,1046,45,S52,Fam11,P,T,M,11.2,65.4,Exposed,infected,51,11.705,0.47568,1.04331,0.8,37.2,14.1,161,2862450,376.5,75.11,0.5513,4,Exposed father group,BP05
S53,28932807,12405614,10512780,10940697,9047863,337924,1126993,84.7421175606463,82.6991461330115,2.7239602973299,9.08454027346006,71.9%,33%,12.8,70.8438611016783,32,94.4410287149028,18.1818181818182,12405614,Fam11,NE_05,NA,10,6.9,0,1057,44,S53,Fam11,P,C,M,12.6,67.1,Control,control,49,12.48,-0.70158,-0.08915,1.1,38.6,11.8,273,4441521,553,77.61,0.6382,1,Control father group,BP05
S54,28368615,12887743,10820985,11248324,9181566,465819,1173600,83.9633828824799,81.6260804720774,3.6144342729367,9.10632684093716,73.2%,33%,13,72.4291992854892,32,94.1835632507569,18.1818181818182,12887743,Fam17,E_49,S69,V48_008,4.1,0,546,36,S54,Fam17,O,TC,F,13,66.4,E_control,control,41,39.718,-0.46713,-0.44918,0.3,28.8,9.1,1.6,2531542.5,467,55.11,0.55,2,Exposed father group,BP49
S55,20293419,8554296,7215310,7506375,6167389,311424,736497,84.3472098697543,82.1620156200563,3.64055674482155,8.60967401642403,84.6%,38%,15.9,71.1437042322186,33,94.632282305873,18.1818181818182,8554296,Fam17,E_49,S69,V48_171,1,0,308,31,S55,Fam17,O,TC,F,9,66.6,E_control,control,35,33.483,-1.63191,-1.28341,0.4,10,5.6,1,508867.3,62,90.11,0.86,2,Exposed father group,BP49
